# Family/index|semantic aim|personal meaning
private_comfort/0|personal space|The room could feel right without every choice requiring somebody else's approval.
private_comfort/1|unclaimed leisure|A free season would offer the unfamiliar pleasure of deciding which company is actually wanted.
private_comfort/2|unhurried mornings|The first part of the day could belong to appetite, weather, and a view rather than an arriving demand.
private_comfort/3|admired comfort|An ordinary seat could become both a daily pleasure and a small source of pride.
private_comfort/4|winter warmth|Warmth available at will would make the cold season feel less like something simply to endure.
private_comfort/5|bodily comfort|Clothing could answer to the body wearing it rather than the impression expected from a distance.
private_comfort/6|unburdened company|A meal would taste different without waiting for the conversation to reveal its request.
private_comfort/7|undisturbed work|Returning to an unfinished object exactly as it was left would make a private project easier to inhabit.
private_comfort/8|unobserved travel|The journey could remain interesting without becoming material for an impressive public account.
private_comfort/9|summer coolness|Cool water nearby promises a season whose ordinary afternoons are pleasant to imagine.
private_comfort/10|simple household|Fewer ceremonies would leave more of home life available for ordinary preference.
private_comfort/11|absorbing leisure|An interest could be followed past its first difficult question instead of continually being put aside.
private_comfort/12|independent taste|The pleasure would include keeping the disliked colors after a visitor offers an unsolicited correction.
private_comfort/13|ordinary good food|A well-cooked supper should be enjoyable without requiring a guest list or a performance of hospitality.
private_comfort/14|restful sleep|A familiar bed could suit the actual sleeper rather than the conventional idea of an impressive chamber.
private_comfort/15|protected quiet|A closed courtyard would give a pause a physical boundary that other people recognize.
private_comfort/16|chosen company|An invitation could mean that the person's presence is wanted, without an obligation hidden inside it.
private_comfort/17|winter reading|Cold weather could become an excuse for sustained reading and the comfort of staying put.
private_comfort/18|usable collection|Finding the wanted book should follow a familiar private logic rather than a visitor's preferred order.
private_comfort/19|private refuge|One place could remain free from the expectation that every pleasure must be shared or explained.
private_comfort/20|reliable small pleasure|A favorite taste available regularly would make comfort part of an ordinary day.
private_comfort/21|settled routine|Later years could include the right to keep a harmless habit simply because it feels familiar.
private_comfort/22|unapologetic pleasure|An indulgence could be enjoyed without immediately turning it into an argument about its usefulness.
private_comfort/23|unwatched moods|A passing mood could stay small if nobody treated it as news requiring interpretation.
personal_recognition/0|dismissal reversed|Recognition from that particular skeptic would settle something praise from strangers leaves untouched.
personal_recognition/1|wanted company|Being amusing company would be a more personal reason for an invitation than access to a useful acquaintance.
personal_recognition/2|accurate credit|The work and the name should stay connected after the people present at its making have moved on.
personal_recognition/3|expert approval|Specific admiration from a discerning reader would be worth keeping and rereading privately.
personal_recognition/4|social distinction|A gathering remembering the company with pleasure would leave a gratifying trace of personal presence.
personal_recognition/5|rival acknowledgment|An approving quotation would be especially satisfying from someone reluctant to offer an ordinary compliment.
personal_recognition/6|memorable performance|The performance could remain alive in other people's conversation after its immediate applause has ended.
personal_recognition/7|admired taste|A choice noticed for being exactly right would make private judgment feel publicly legible.
personal_recognition/8|social importance|Newcomers seeking an introduction would make an entrance feel like an event rather than an obligation.
personal_recognition/9|vindicated taste|An unfashionable pleasure becoming admired would turn an old teasing remark into a satisfying memory.
personal_recognition/10|earned credit|Praise that names the difficult part of the work proves somebody actually looked at it.
personal_recognition/11|original contribution|An idea remembered as distinctive would establish a place that cannot simply be inherited.
personal_recognition/12|dismissal reversed|A critic's changed judgment would matter more than another chance to rehearse the original disagreement.
personal_recognition/13|wanted company|A small gathering choosing eagerly would feel more personal than a formal hall obliged to include the name.
personal_recognition/14|household recognition|Familiar people taking the talent seriously would remove the temptation to hide its importance.
personal_recognition/15|distinctive identity|A recognizable style could let a preference announce the person before a title does.
personal_recognition/16|understood achievement|The right witnesses would know which difficult decisions made the victory worth remembering.
personal_recognition/17|creative recognition|An admired performer choosing the piece would make a private creation part of a larger shared pleasure.
personal_recognition/18|respected seniority|A younger competitor asking to learn would turn a threatening comparison into a gratifying acknowledgment.
personal_recognition/19|recognized expertise|Being asked naturally would be more satisfying than having to announce knowledge at the edge of the discussion.
personal_recognition/20|treasured workmanship|A modest object kept close would give the work a place more intimate than a display of expensive possessions.
personal_recognition/21|unqualified respect|The honor should feel like recognition among adults rather than encouragement given to a promising child.
personal_recognition/22|personal distinction|An official role should not be the most interesting thing an acquaintance can remember.
personal_recognition/23|independent recognition|An accomplishment could finally be considered on its own scale instead of beside a more celebrated relative.
chosen_independence/0|chosen intimacy|Affection would feel more fully chosen without first surviving a household judgment of its suitability.
chosen_independence/1|safe refusal|A refusal would become an ordinary answer instead of the beginning of calculations about retaliation.
chosen_independence/2|dignified departure|Leaving should be allowed to mean a considered choice rather than a disgrace that must be explained away.
chosen_independence/3|private spending|A small purchase could remain a pleasure instead of becoming evidence in a family discussion.
chosen_independence/4|revised ambition|Changing course could acknowledge an altered desire without requiring a defense against the word failure.
chosen_independence/5|chosen home|A place could be selected because living there appeals, rather than because it sends the appropriate message.
chosen_independence/6|unclaimed pursuit|An absorbing craft would remain personal if nobody insisted on finding a clan purpose for it.
chosen_independence/7|unmonitored affection|Closeness should not give another person the right to inspect every ordinary choice.
chosen_independence/8|ordinary introduction|A new acquaintance could form an impression before the formal expectations of a title enter the exchange.
chosen_independence/9|independent opinion|A livelihood should withstand an honestly unpopular answer instead of depending on agreeable silence.
