# Exact pursuit|specific point of interest|personal pleasure
carving miniature ships|getting the hull's curve convincing before adding a mast|holding an imagined voyage in a small finished shape
whittling nesting birds|capturing the tucked head and folded wings in a few cuts|making an ordinary quiet creature worth a second look
making jointed wooden animals|fitting a leg that swings freely without splitting its peg hole|giving a handmade creature a little unexpected life
carving wooden models of siege engines|showing how the visible parts fit together at a small scale|understanding a formidable machine through patient modelmaking
turning drinking bowls|the balance between a comfortable rim and a stable base|making an everyday object pleasant to handle
cutting geometric game pieces|making pieces distinguishable by touch as well as outline|bringing order and character to a familiar game
making fitted keepsake boxes|adjusting a lid until it closes without being forced|giving something treasured a place made to suit it
carving walking-stick handles|shaping a grip around the natural bend of a branch|letting the material contribute to the design
repairing broken children's toys|finding a repair that survives the toy's next enthusiastic use|seeing an object return to the play it was meant for
carving reliefs of remembered landscapes|deciding which contours make a place recognizable|keeping a view that memory would otherwise soften
making small spinning tops|changing the weight until the wobble settles|turning a simple shape into a brief absorbing motion
shaping wooden spoons|the transition from a strong handle to a thin useful bowl|making a modest tool feel right in the hand
carving likenesses of familiar faces|finding the one proportion that carries a recognizable expression|noticing a person more carefully than a passing glance allows
making reed-and-wood whistles|adjusting an opening until breath becomes a clear note|the surprise of making sound from unremarkable materials
inlaying contrasting woods|fitting the edge of a pale piece against a darker ground|creating a pattern through patient joins rather than surface ornament alone
building dovetailed chests|understanding how the interlocking corners resist being pulled apart|the assurance of a construction that holds through its shape
carving protective door ornaments|choosing a motif that looks welcoming or watchful above an entrance|giving an ordinary threshold a remembered character
making folding travel stools|working out how a compact frame opens into a stable seat|a practical transformation with a satisfying economy of parts
shaping wooden sword grips|the relation between the grip's contour and a secure comfortable hold|improving a familiar object at the point of contact
constructing miniature bridges|arranging supports so a small span carries weight|seeing an idea prove itself in a modest physical trial
polishing unusual wood grain|bringing out a figure that was barely visible in the rough surface|discovering beauty already present in the material
carving a household's history into panels|choosing a small remembered domestic scene for a practice design|giving ordinary shared memories a durable visible place
making wooden counting boards|spacing the channels so counters move and settle cleanly|making a confusing quantity easier to see
building bird nesting boxes|the relation between entrance size, shelter, and a secure mounting|offering useful shelter without demanding that a bird accept it
carving stamps for cloth patterns|cutting a design that remains clear when repeated|watching a small deliberate mark become a larger rhythm
throwing small clay cups|keeping the wall even while leaving the rim comfortable|feeling a useful shape emerge under steady hands
modeling horses in clay|the angle of a neck or leg that makes the animal seem alert|observing a familiar creature beyond its practical use
making pierced lantern shades|placing openings so light reveals a second pattern|making darkness part of a design
painting fired pottery|fitting a simple motif to the curve of a vessel|giving an ordinary meal a small visual pleasure
shaping clay gaming counters|making each counter stable and easy to pick up|adding personal character to shared play
glazing tiles experimentally|noticing how a test piece changes after firing|the anticipation of a result that cannot be wholly predicted
collecting naturally holed stones|examining the worn passage through the stone|finding a small natural object that invites handling and curiosity
carving soapstone seals|thinking through the reversed impression before cutting|the exactness of a tiny design with a clear result
making miniature clay buildings|suggesting an entrance, roof, and courtyard with few details|imagining how a place might be inhabited
restoring cracked household pots|deciding whether a crack permits a useful modest repair|keeping an accustomed object in service
pressing leaves into wet clay|preserving the fine veins without tearing the impression|making a fleeting seasonal detail last
making terracotta seed pots|the relation between drainage, wall thickness, and a manageable size|preparing a useful place for growth
carving stone animal amulets|reducing a familiar creature to a shape that fits a palm|carrying an affection in a small tangible form
cutting simple mosaics|placing neighboring colors so a pattern can be read from a distance|watching fragments become a coherent whole
sculpting faces from river clay|changing an expression through a small adjustment at the mouth|the closeness of observation required to suggest a person
testing local pigments on pottery|comparing a color before and after firing|learning what an ordinary material can unexpectedly do
making water whistles|the point at which air and water produce a wavering note|a playful result reached through small adjustments
building tiny stone cairns|balancing a broad base with an unexpectedly narrow upper stone|a quiet challenge with no lasting obligation
engraving slate writing tablets|keeping a shallow line legible without breaking the edge|making a plain surface useful through precise marks
carving shallow stone basins|following the curve of the hollow while keeping the base sound|the slow satisfaction of a shape that holds water
making clay beads|keeping the hole open while smoothing the bead's surface|making small objects that can be combined in different ways
studying how kilns draw air|tracing where an opening feeds or weakens the draft|understanding an unseen movement through observable effects
