# Index in ordered adult secret library|semantic aim|personal meaning
0|prepared difficult speech|Practicing gives an uncertain exchange a temporary sense of control before another person can interrupt it.
1|unfinished apology|Keeping the letter preserves the possibility of repair while postponing the risk of an actual answer.
2|unfashionable pleasure|The work is enjoyable on its own terms; an audience might replace that pleasure with the effort of defending it.
3|modest home remembered|A smaller earlier life can be missed for its ease even when present comforts are genuinely appreciated.
4|uncertain belief|The belief still matters, which makes uncertainty harder to display than indifference would be.
5|awkward friendship keepsake|The object preserves a warmth that no longer fits a simple account of the relationship.
6|revisable vocation|An early choice can acquire so many expectations that reconsidering it feels like disappointing an entire audience.
7|admiring envy|Admiration and comparison coexist; recognizing another person's merit does not remove the desire for the same advantage.
8|unfinished admired book|Respect for the book's reputation has become easier to maintain than the attention needed to finish it.
9|simple food pleasure|The most agreeable meal is not necessarily the one that best displays means or station.
10|remembered kindness|Recording a specific gesture keeps it from disappearing into a vague belief that somebody was once helpful.
11|uncomfortable praise|Ceremony can make a pleasant acknowledgment feel like an obligation to perform a suitable response.
12|concealed practice|Public dismissal protects an uncertain effort from being judged before it has become satisfying.
13|quieter vocation|The attraction lies in an imagined day with fewer demands, not necessarily in a settled plan to leave.
14|keepsake continuity|Usefulness and price fail to explain why this particular object is still wanted.
15|concealed harmless fear|The imagined reaction of an audience can feel worse than the harmless thing that provokes the fear.
16|remembered promise|A casually given word may have occupied far more space in its recipient's expectations than in its maker's memory.
17|animal companionship|An animal's familiar presence offers company without requiring another careful explanation of the day.
18|private poetry|Writing permits a feeling to take shape without obliging anyone else to admire or interpret it.
19|regretted small cruelty|The incident remains uncomfortable partly because it would have cost so little to behave more kindly.
20|grief linked song|A familiar melody can bring a feeling closer than the moment is prepared to bear.
21|family questions answered|Ordinary questions seem worth keeping because the person able to answer them will not always be available.
22|success freedom|Success might replace one freedom with a permanent expectation to repeat the performance.
23|learning across age|A good explanation is enjoyable even when accepting it reverses the expected order of experience.
24|unperformed identity|A familiar place without ceremony allows a private mood to exist without being interpreted as a public signal.
25|silence interpreted|An empty pause is easily filled with a critical explanation that the other person may never have intended.
26|private shared humor|An amusing fragment recalls the texture of an exchange better than a formal description of the relationship.
27|ordinary life noticed|Interest in practical daily pleasures would feel more personal than another question about useful accomplishments.
28|freely chosen company|Relief at a canceled invitation reveals how much agreement was driven by manners rather than appetite for company.
29|admired rival patience|A rival's steady quality is useful to observe even when admitting admiration would complicate a public disagreement.
30|handmade attachment|The imperfect workmanship makes the giver's particular effort more visible rather than making the object less wanted.
31|revisable ambition|A familiar ambition may be carried forward because explaining its disappearance feels harder than pursuing it.
32|practiced refusal|A refusal sounds clearer alone than it does in front of somebody who expects agreement.
33|private sentiment|A controlled manner leaves more room for feeling than observers usually assume.
34|first earned trust|An early act of confidence remains important because it preceded the evidence that later made confidence easy.
35|unprestigious play|The game is enjoyable without becoming respectable, useful, or a demonstration of maturity.
36|sustainable expectation|An admired capacity can become a demand to show it without fatigue, uncertainty, or a bad day.
37|preparatory ritual|A familiar small sequence provides a beginning when the actual task still feels difficult to enter.
38|wanted recognition|Wanting credit feels embarrassingly exposed even when the effort that earned it was real.
39|affection across disagreement|Disagreement has changed the relationship without removing every reason the person's company was once cherished.
40|remembered correction|The written reminder keeps a useful lesson available after the discomfort that taught it has faded.
41|anonymous travel|An unfamiliar road is attractive partly because strangers would have fewer ready-made expectations.
42|work song feeling|A plain shared rhythm can reach feelings that more elaborate performances leave untouched.
43|intimate company|Comfortable company matters more than belonging to a circle impressive enough to be described to others.
44|unasked friendship ending|Not asking preserves a little hope while leaving the loss without an explanation that can be settled.
45|giving for reassurance|Generosity can be sincere and still carry an unspoken hope of being valued in return.
46|cross cultural pleasure|An ordinary enjoyable custom can cross a boundary that public loyalties make awkward to discuss.
47|family legend doubted|Affection for the family does not make every flattering account equally convincing.
48|repairable keepsake|Discarding the object would close a possibility that remains emotionally unfinished even when repair is impractical.
49|absent mentor judgment|An internal image of the mentor's expectations continues to judge efforts without the mentor being present to revise it.
50|remembrance through care|Tending something living provides a repeated act for a memory that has no useful words every day.
51|unsettling dreams|Avoiding sleep offers short relief while making the next tired day less manageable.
52|ceremonial discomfort|A dignified appearance can conceal a very ordinary wish to loosen, remove, or adjust something uncomfortable.
53|reading independence|Earlier access to words is imagined as a freedom that would have changed many small encounters.
54|absorbing musical detail|The unresolved phrase continues to offer a private challenge after it has stopped being entertaining to listeners.
55|duties ended|An ending can remove a burden without making the attachment or sadness associated with it false.
56|bounded dependability|Being trusted is welcome until trust becomes an assumption that no request needs to consider personal limits.
57|ambiguous letter|The words allow more than one interpretation, and choosing one would close a possibility the others preserve.
58|unwitnessed giving|Anonymity removes both the pleasure and the burden of managing another person's gratitude.
59|future useful work|A fine earlier result can become an intimidating measure instead of a source of confidence.
60|borrowed composure|A calm public answer sometimes offers others steadiness that its speaker does not entirely feel.
61|honest intimacy|An agreeable relationship is less reassuring when disagreement may be hidden to preserve it.
62|childhood care remembered|A modest kindness was large enough in a child's experience to remain unusually clear.
63|imagined journeys|An unfinished map permits many possible departures without forcing a choice among them.
64|repair pleasure|Mending preserves familiarity and offers a visible result that buying a replacement does not.
65|duty as avoidance|A respectable obligation can protect against a more personally difficult conversation or choice.
66|private collection|Displaying the collection would invite judgments that have little to do with why its objects were chosen.
67|unearned affection|Affection can feel uncertain when there is no obvious service through which to justify receiving it.
