# Original adult temptation index|semantic aim|personal meaning
0|exclusive credit|Accepting the praise without correction offers a warmer moment than interrupting it to describe the shared effort.
1|avoided apology|A gift seems capable of expressing regret without the exposure of naming the actual wrong.
2|rare possession|The chance to possess the object makes the ordinary budget feel briefly less important than avoiding its loss to another buyer.
3|pleasing promises|An enthusiastic yes postpones the uncomfortable admission that the available time is already spoken for.
4|decisive argument|The confidence offers an unusually effective point precisely because it was never entrusted for public use.
5|absorbing leisure|The familiar hobby promises immediate satisfaction while the duty remains unpleasantly available for later.
6|favored talent|A friend's ability makes an exception feel easier to justify than it would for an unfamiliar candidate.
7|hidden mistake|Waiting offers a short interval in which the mistake is still private, even as the cost of addressing it may grow.
8|distant curiosity|The unanswered question makes the journey's dangers feel less vivid than the possibility of finally seeing for oneself.
9|avoided disappointment|Accepting the obligation preserves the other person's present pleasure while moving the difficulty into a later day.
10|wanted company|A flattering invitation offers an immediate sense of being wanted that can make its actual purpose less carefully examined.
11|ambitious investment|The imagined project's success makes reserves seem like idle resources rather than protection against an ordinary bad season.
12|visible decisiveness|A harsh response promises a clear impression of authority before the more difficult judgment has been worked through.
13|tested loyalty|An unnecessary test offers the hope of reassurance without having to ask directly for it.
14|exciting beginnings|The new project's possibility feels cleaner than the slow effort and compromises now visible in the unfinished one.
15|public generosity|A generous public promise offers approval at the moment of speaking, before its practical cost has arrived.
16|immediate comfort|An available sympathetic listener can seem more appealing than waiting for someone whose discretion is better known.
17|avoided grief|Work fills attention with concrete demands that leave less room for the unsettled feeling underneath.
18|protected seniority|Dismissing a younger speaker briefly protects a familiar position from the discomfort of needing their correction.
19|continued possession|The borrowed object's usefulness makes returning it feel easier to postpone than its owner may realize.
20|impressive solutions|An elegant appearance offers a satisfying account of the answer before its ordinary practicality has been tested.
21|easy assistance|A patron's offer promises relief now, making the terms that shape later choices tempting to leave unread.
22|withheld warmth|Coldness provides a way to make the slight felt without openly naming how much it mattered.
23|acknowledged grievance|Reopening the quarrel seems to offer another chance to receive the acknowledgment missing from its earlier ending.
24|confident appearance|An assured answer preserves the moment's authority without exposing the question that remains unresolved privately.
25|visible endurance|Continuing past tiredness offers another piece of evidence for a reputation that has begun to feel important to maintain.
26|favored animal|Affection makes the particular animal's inconvenience seem more deserving of indulgence than the rule was designed to allow.
27|needed usefulness|Unrequested help offers a practical role in another person's life before they have had to choose whether it is wanted.
28|meaningful giving|The wish to make the gift feel exactly right can push its cost beyond the ordinary limit.
29|avoided refusal|Silence delays the discomfort of saying no while leaving the other person to interpret what it means.
30|retrospective credit|An ambiguous account could make a late recognition of the problem sound like earlier foresight.
31|last word|The argument retains the appeal of prevailing after the practical question that began it has faded.
32|beautiful completion|A beautiful result can make a small rule seem like an obstacle worth quietly stepping around.
33|comforting explanation|The appealing explanation settles an uncertainty pleasantly before there has been enough evidence to justify the relief.
34|hidden disappointment|Keeping the feeling private avoids the risk that explaining it will make it seem smaller or more embarrassing.
35|competitive leisure|Turning the hobby into a contest offers a new measure of success that can crowd out its simpler pleasure.
36|protected competence|A sincere question can be mistaken for a challenge when it touches an area of private uncertainty.
37|familiar standing|Remaining in the unsuitable role preserves a known identity while postponing the uncertainty of leaving it.
38|scarce approval|Approval from the dismissive person seems especially valuable because it has been so difficult to obtain.
39|sheltered distance|A practical demand provides a respectable reason to avoid a conversation that might require greater openness.
40|protected friendship|Lending seems to preserve warmth immediately, even when the later repayment may make the friendship less comfortable.
41|maintained belonging|Accepting the invitation avoids missing the occasion, while tiredness can be treated as a private cost to bear later.
42|moved generosity|The story's immediate emotional force makes a promise feel clearer than its future demands actually are.
43|respectable appearance|Concealing the interest seems to protect a familiar public impression from an unnecessary awkward question.
44|guarded hurt|Sarcasm can make the listener feel the sting without revealing the vulnerable reason behind it.
