# Original adult value index|semantic aim|personal meaning
0|kept promises|A precise commitment protects the trust that an impressive but unkeepable assurance spends carelessly.
1|safe hospitality|A guest should be able to disagree without wondering whether the roof still offers protection.
2|fair compensation|The cost of good work includes the time and judgment concealed by a clean finished result.
3|unafraid learning|An explanation can teach a child something useful that fear only teaches the child to conceal.
4|private generosity|The good done should remain worthwhile when there is no audience to connect it to the giver.
5|accountable authority|Power becomes too easy to misuse when the practical cost always arrives at someone else's door.
6|humane handling|A frightened animal cannot be expected to understand the impatience of the person holding the lead.
7|honest uncertainty|An admitted gap leaves room for a better answer; confident invention closes it prematurely.
8|worker dignity|Being paid for labor does not surrender the right to ordinary respectful treatment.
9|clear obligations|A debt should be accepted with an understanding of what repayment will actually require.
10|unhurried grief|Someone else's discomfort with mourning is not a sound measure of when it should end.
11|useful continuity|A working tradition carries accumulated practical judgment that novelty alone does not replace.
12|fair experiment|An unfamiliar idea deserves the chance to fail or succeed through more than a confident first dismissal.
13|dignified refusal|A refusal can be firm without becoming a spectacle designed to diminish the person asking.
14|family candor|Affection that vanishes during disagreement is difficult to trust during apparent harmony.
15|tool care|A useful tool is easier to preserve through small regular attention than replace after neglect.
16|practical apology|The person harmed should not be left carrying the whole inconvenience after the apology is spoken.
17|unconditional hospitality|A bed and a meal should not become a concealed price for the guest's later agreement.
18|preparation recognized|An easy result often depends on attention that nobody notices unless it is missing.
19|safe truth|An honest answer should become easier in a well-led room, not more dangerous.
20|equal accountability|A rule loses much of its claim to respect when its maker quietly stands outside it.
21|lifelong learning|Age changes what a learner brings to a subject without removing the right to begin it.
22|considerate departure|A friend should receive a chance to understand a withdrawal before discovering it through absence.
23|personal privacy|A closed subject may simply belong to its owner rather than conceal an offense against the listener.
24|ordinary beauty|A well-shaped cup or pleasing corner can improve a day without requiring a grand occasion.
25|unwasted food|Discarding good food to make an impression turns an ordinary necessity into a careless performance.
26|honest loyalty|A loyal person should sometimes be the one willing to make an unwelcome correction.
27|independent help|Dependence is safer when the person receiving support still has meaningful decisions left to make.
28|considered courage|Fear acknowledged honestly can be judged and acted through more wisely than fear denied for appearance.
29|attentive gifts|A gift should show interest in the person receiving it rather than only the giver's ability to spend.
30|practical care|Preparation is one way to spare another person the consequences of avoidable confusion.
31|restraint toward helplessness|An enemy unable to resist no longer offers a fair occasion to prove boldness.
32|sustainable work|Rest belongs within a workable life rather than only after every possible demand has been satisfied.
33|fair credit|A shared result should not become one person's achievement when its story is told outside the room.
34|household voice|A question can reveal an ordinary problem before unquestioning obedience makes it expensive.
35|open opportunity|An origin tells something about a starting place, not everything about what can be learned afterward.
36|responsible mercy|Mercy should consider the people who will live with its next consequences as well as its immediate recipient.
37|finite patience|Understanding a delay does not oblige everyone else to keep arranging life around its endless continuation.
38|direct disagreement|An argument about the actual decision gives both people more room than an insult aimed at ancestry.
39|recognized service|Learning a name is a small acknowledgment that the person serving has a life beyond the present task.
40|shared knowledge|Knowledge gains another chance to remain useful when an interested learner can carry it onward.
41|protected confidence|A confidence is entrusted precisely because the speaker cannot control every later opportunity to misuse it.
42|informed authority|An inconvenient fact can become more damaging through silence than through the discomfort of hearing it promptly.
43|patient teaching|An apprentice's mistake is information about what still needs explaining or practicing.
