# Original adult wound index|semantic aim|personal meaning
0|serious effort|A dismissive tone can still make a new effort feel in danger of being judged before it is understood.
1|independent recognition|Family comparisons carry an old pressure to become impressive in somebody else's preferred way.
2|unconditional affection|A mistake can feel as though it threatens the relationship as well as the immediate result.
3|fair blame|An accusation brings a particular urgency to separate what actually happened from the convenient explanation.
4|protected confidence|A friendly invitation to speak privately now leaves a question about where the words might travel next.
5|unconditional affection|Praise can sound incomplete when it never seems to arrive during an unproductive ordinary day.
6|a fair hearing|Being interrupted during an explanation recalls the helplessness of a judgment already settled elsewhere.
7|meaningful possessions|Another person's casual handling can miss how much private history an inexpensive object carries.
8|personal agency|An apparently helpful arrangement becomes uncomfortable when there is no remaining place for a personal choice.
9|unmocked effort|Beginning a skill can bring the remembered expectation of laughter alongside the genuine wish to learn.
10|unburdened help|An offer of assistance is harder to accept without first wondering what permanent obligation might follow it.
11|steadfast company|An awkward public moment can prompt a quick glance toward whether familiar support is still nearby.
12|dignified apology|Admitting a wrong can feel risky when a previous admission became permission to press an advantage.
13|meaningful participation|A flattering welcome is less satisfying when the conversation never expects a real contribution.
14|unhurried grief|Advice to move on can recall the loneliness of being asked to make grief easier for its observers.
15|fair credit|A confident public account is watched closely for the moment another person's influence begins absorbing the work.
16|kept promises|A small forgotten commitment can carry more weight than its practical inconvenience initially suggests.
17|safe questions|An unclear instruction may be endured longer than is useful before the remembered risk of asking is overcome.
18|heard concerns|The word inconvenient can make an ordinary concern feel as though it has no acceptable time to be voiced.
19|individual regard|A comparison meant as praise can still leave uncertainty about whether the actual person has been noticed.
20|explained departure|An unexplained silence can revive the old effort to infer which unspoken mistake ended the connection.
21|accepted taste|A harmless preference may be offered cautiously while the listener's first expression is watched.
22|secure belonging|A trusted person's casual talk of replacement can unsettle a relationship that had appeared dependable.
23|unmocked mistakes|An amusing retelling may feel threatening when a small failure has once outgrown every other remembered fact.
24|legitimate rest|Stopping before exhaustion can carry an old and unwanted sense of having left something morally unfinished.
25|supported responsibility|An important assignment is harder to welcome when the promised help remains vague.
26|unranked judgment|A reference to age can feel like the beginning of dismissal even before the actual argument has been considered.
27|consistent regard|Public praise is harder to trust when a closed door once changed the tone completely.
28|dignified help|A manageable need can become a private struggle simply because asking still feels disproportionately exposing.
29|bounded generosity|An offered kindness is now accompanied by attention to whether the recipient recognizes where it ends.
30|safe reconciliation|Pressure to declare forgiveness can feel like another demand to ignore the conditions that made the hurt possible.
31|family autonomy|A family quarrel can revive the unwelcome expectation that affection must be demonstrated by choosing an opponent.
32|independent recognition|A personal success loses some pleasure when its first explanation is what it has obtained for the family.
33|heard concerns|A quiet request can seem ineffective beside the remembered fact that anger once received the first real response.
34|unreversed responsibility|An apology that immediately seeks reassurance can recall being asked to care for the person responsible for the hurt.
35|unburdened kindness|An unusually warm approach may prompt a private wait for the request that will explain it.
36|animal companionship|A dismissive remark about the animal can sound like a dismissal of an important ordinary relationship.
37|room for unfamiliarity|An unfamiliar ceremony can bring more attention to possible embarrassment than its practical importance warrants.
38|preparation recognized|A smooth result can leave an old worry that the work making it smooth will again remain invisible.
39|independent friendship|Criticism of a friend's station can feel like an attempt to claim authority over a personally chosen bond.
40|patient instruction|A teacher's impatience can make a difficult stage feel like the last chance rather than part of learning.
