# Original adult jealousy index|semantic aim|personal meaning
0|unearned approval|Early praise gives another person's work an advantage before its difficult details have even been considered.
1|chosen vocation|A relative's permitted choice makes inherited expectations on personal work feel less inevitable and less fair.
2|easy companionship|Effortless-looking friendship highlights the attention and uncertainty that personal social exchanges can require.
3|forgiven mistakes|A rival's quick forgiveness makes the lasting consequences of personal errors feel especially uneven.
4|unconditional trust|Another person's easy reception exposes how tiring it is to keep supplying fresh proof of reliability.
5|chosen work|An artisan able to refuse an unsuitable commission appears to possess a particularly useful kind of freedom.
6|unconditional affection|A sibling's ordinary welcome can make personal efforts to remain deserving of affection feel painfully conspicuous.
7|easy belonging|Quick acceptance of a newcomer throws earlier cautious approaches from the edge of the circle into sharper relief.
8|unearned confidence|Another person's assurance can be irritating when it seems to cost less preparation than a private attempt would require.
9|inherited opportunity|An established workshop supplies a beginning that someone else had to build before any satisfying work could start.
10|unclaimed pursuits|A companion's free interval makes the interruptions surrounding personal interests harder to ignore.
11|unhurried grief|Patient attention to another person's loss highlights the pressure once felt to make personal grief less visible.
12|fair credit|A shared result appears to become the rival's achievement as soon as it reaches a public audience.
13|unencumbered travel|The freedom to depart without permission turns another person's ordinary journey into a desirable kind of independence.
14|family candor|Easy disagreement elsewhere highlights the effort needed to keep a personal difference from becoming a household quarrel.
15|proportionate recognition|Admiration for a modest result makes more demanding personal work feel less reliably connected to praise.
16|acknowledged fear|Someone naming fear without losing standing seems free from an extra burden that can make courage harder to practice.
17|recognized agency|A relative's decisions receiving serious consideration makes personal wishes seem too easily treated as provisional.
18|heard judgment|Advice heard immediately offers a contrast to the tiring need to repeat a useful point until somebody notices.
19|enduring friendship|Companionship surviving long absences easily makes distance look less costly for other people.
20|unburdened help|An uncomplicated offer of help highlights the private habit of looking for the obligation hidden behind one.
21|mentor approval|A rival's charm appears to obtain the warm reception that careful work alone has not always secured.
22|visible recognition|A public celebration can make another person's small success occupy more space than its practical scale suggests.
23|heard presence|Someone remaining memorable while quiet seems spared the work of continually reasserting a place in the room.
