# Index in ordered adult fear library|semantic aim|personal meaning
0|uncertain depths|An unseen bottom leaves no reassuring sense of where a safe limit lies.
1|sleeping household safety|The thought of others sleeping unaware makes delayed warning especially troubling.
2|reading independence|Losing direct access to words would make familiar private pleasures depend on another person.
3|enduring companionship|A long life seems less welcome if nobody remains who remembers its ordinary earlier days.
4|unresented care|Needed help would feel humiliating if every request were received as an unwelcome burden.
5|reversible judgment|The hardest choice is one whose missing facts become clear only after retreat is impossible.
6|safe sincere effort|Mockery would expose the vulnerable part of having tried honestly rather than performed indifference.
7|physical escape|A place feels more threatening when there is no clear way to leave it freely.
8|animal care responsibility|Dependence makes an animal's avoidable distress a particularly personal failure of attention.
9|remembered voice|The small sound of a familiar person feels harder to replace than a formal account of them.
10|kept promises|Another person's reliance turns a broken word into more than a private disappointment.
11|resisting convenient cruelty|The danger is becoming accustomed to another person's discomfort because noticing would be inconvenient.
12|earned credit|Undeserved praise would place a pleasing public image on a privately unstable foundation.
13|durable home|Losing an established home would erase familiar arrangements as well as material shelter.
14|bodily independence|Illness is especially troubling when it would remove ordinary choices about the shape of a day.
15|children emotional safety|A child who hides everything may look obedient while becoming unreachable.
16|lasting sufficiency|Security would feel fragile if every comfort could become another thing that must be surrendered.
17|guest safety|Offering welcome creates a personal concern for the vulnerability of someone who accepted it.
18|confidence keeping|A careless phrase could damage a trust that took much longer to establish.
19|affection discernment|Being wanted is less comforting if the welcome depends on what can be obtained through it.
20|reconciliation time|An unfinished quarrel becomes frightening when the chance to repair it might disappear.
21|divided affection|A forced choice could make caring for one person feel indistinguishable from abandoning another.
22|debt responsibility|The prospect of leaving another person to pay for private choices makes an easy obligation less easy.
23|anger control|A brief loss of restraint could leave words or damage that remain after the feeling passes.
24|self sufficiency|Ordinary usefulness matters partly because it allows a day to be shaped without constant permission.
25|whole life remembered|One bad moment should not become the only story through which every earlier effort is understood.
26|secure footing|Height becomes most unsettling when the next stable place for a foot is uncertain.
27|unfamiliar dog aggression|An approaching animal is harder to judge when its signals and distance leave little time to respond.
28|winter sufficiency|A reassuring store can conceal a shortfall until weather removes the easiest alternatives.
29|known orientation|Losing familiar landmarks would remove the small confirmations that a route is still recoverable.
30|reliable guidance|Following confidently offered directions can put a practical need into another person's uncertain judgment.
31|travel illness support|A manageable illness becomes more frightening without someone nearby who knows help is needed.
32|fair hearing|An innocent error could acquire a lasting false meaning if explanation never gets a hearing.
33|skill continuity|Gradual decline is troubling because an accustomed confidence may conceal it until an important failure.
34|timely warning|Sleep feels vulnerable when a necessary response might depend on noticing the first small sign.
35|accepted vulnerability|Showing need should not be the moment an apparently dependable tie is withdrawn.
36|responsible treatment|Good intentions would offer little comfort if an inadequately understood remedy made someone worse.
37|unresented care|The wish for care is complicated by the thought of consuming a child's freedom and time.
38|chosen life|A life can become externally orderly while containing almost no decisions that feel personally chosen.
39|authentic friendship|Years of companionship would feel different if warmth had always been a means to another end.
40|family continuity|An inheritance could reveal that a shared home was held together by expectations nobody had spoken aloud.
41|explained absence|An unexplained disappearance leaves neither an ordinary hope nor a grief that can find a definite shape.
42|crowd safety|A familiar gathering can feel unstable when its temper changes faster than an individual can leave.
43|dependent provision|Responsibility feels most exposed when another person's necessities depend on resources that may fail.
44|admired person's respect|A mistake hurts differently when it occurs before someone whose judgment is personally valued.
45|keepsake continuity|An inexpensive object can hold an association that no replacement of equal quality would restore.
46|movement freedom|Long confinement would narrow both daily choices and the ordinary contact through which life stays varied.
47|chosen grief disclosure|Private sorrow feels exposed when other people choose its audience and interpretation.
48|earned reliance|Delegation becomes uneasy when trust has been granted more quickly than conduct has justified it.
49|friendship beyond money|A disputed payment could make every earlier kindness look like an entry in an account.
50|knowledge continuity|Useful understanding can vanish quietly when nobody notices that its last practiced keeper is gone.
51|working ability|An injury would be especially painful if it interrupted the familiar satisfaction of capable hands.
52|children emotional safety|Authority over a child would feel damaged if ordinary approach became something the child dreaded.
53|ordinary pleasure|A life with every requirement met could still become bleak if its small pleasures ceased to reach attention.
54|free affection|Affection becomes frightening when another person uses its importance to make refusal impossible.
